Exp1_GB,Exp2_Comite,Exp3_ATOp-PM
4.975048213458579,3.605174472392753,1.3695379665386047
3.771521745500048,2.6147896933168493,1.2501949922073037
4.078629126574759,0.7821409447599934,1.9308180069274896
12.388103417946622,8.202357414625071,7.261552200165678
10.490142773286196,5.861666825927582,2.9961675178635714
6.90759370876778,2.9750749612960843,4.564645455795389
3.667274667795728,4.487850964357566,8.113661313159064
8.048017330718338,5.275507088228087,5.13501069748075
2.709925145266785,2.0787086725001496,0.5914854573057478
4.917797636545365,4.690616467297407,3.9066753314069
